data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8
3550,3516,3549,3554,3461,3488,3531,3436
3358,3297,3345,3330,3339,3303,3307,3357
2482,2424,2591,2488,2392,2472,2532,2445
2336,2452,2275,2426,2360,2405,2241,2406
2318,2306,2350,2474,2354,2420,2385,2375
2306,2342,2250,2458,2313,2255,2365,2376
2363,2344,2305,2323,2218,2347,2255,2409
2417,2307,2282,2279,2165,2368,2234,2394
2143,2169,2012,1998,1971,2247,2080,2041
2417,2307,2282,2279,2165,2368,2234,2394
2363,2344,2305,2323,2218,2347,2255,2409
2306,2342,2250,2458,2313,2255,2365,2376
2318,2306,2350,2474,2354,2420,2385,2375
2336,2452,2275,2426,2360,2405,2241,2406
2482,2424,2591,2488,2392,2472,2532,2445
3358,3297,3345,3330,3339,3303,3307,3357
3814,3809,3819,3815,3814,3804,3811,3819
3595,3584,3597,3591,3591,3578,3591,3596
2554,2406,2590,2463,2558,2496,2507,2487
2306,2412,2380,2280,2284,2321,2314,2402
2335,2245,2293,2435,2353,2302,2300,2354
2134,2158,2260,2388,2252,2254,2316,2313
2308,2271,2322,2310,2218,2281,2128,2312
2388,2220,2274,2226,2193,2301,2304,2324
2301,2277,2164,2322,2278,2288,2216,2232
2188,2219,2193,2355,2258,2369,2212,2291
2193,2362,2194,2307,2286,2329,2283,2331
2250,2281,2168,2398,2312,2301,2332,2291
2327,2306,2314,2349,2330,2413,2329,2240
2307,2406,2286,2378,2223,2424,2235,2354
2540,2454,2625,2556,2577,2490,2443,2569
3585,3581,3596,3590,3590,3576,3581,3594
3981,3978,3972,3967,3977,3979,3983,3983
3764,3759,3755,3751,3759,3762,3756,3761
2741,2700,2759,2659,2672,2695,2628,2709
2402,2430,2382,2229,2380,2460,2277,2479
2339,2272,2201,2337,2372,2284,2267,2324
2215,2226,2271,2305,2223,2198,2312,2258
2317,2226,2257,2248,2194,2258,2268,2228
2346,2276,2222,2232,2223,2184,2220,2349
2314,2280,2160,2329,2154,2270,2289,2215
2230,2159,2191,2273,2292,2266,2282,2170
2123,2263,2232,2265,2187,2254,2247,2285
2220,2275,2234,2362,2228,2258,2334,2306
2268,2357,2358,2396,2320,2364,2319,2237
2337,2410,2395,2325,2313,2450,2297,2272
2744,2700,2681,2678,2652,2686,2664,2685
3752,3760,3749,3744,3748,3752,3765,3767
4321,4321,4320,4321,4321,4318,4320,4321
4092,4097,4106,4102,4098,4089,4097,4106
2880,2934,3107,3094,2975,2860,2935,3081
2752,2643,2539,2529,2572,2710,2675,2577
2428,2376,2358,2471,2445,2434,2352,2415
2288,2289,2345,2215,2355,2247,2370,2285
2291,2339,2259,2247,2269,2222,2189,2247
2136,2283,2175,2302,2257,2251,2247,2286
2239,2248,2092,2263,2134,2293,2270,2206
2255,2294,2337,2258,2261,2254,2269,2281
2194,2260,2435,2390,2382,2294,2289,2495
2486,2274,2773,2531,2516,2636,2410,2698
2487,2516,2941,2691,2710,2672,2587,2963
2788,2709,3109,2690,2949,2846,2764,3054
3055,2998,3032,3006,2915,3035,3001,3120
4104,4099,4092,4101,4098,4098,4102,4099
4831,4831,4830,4833,4832,4830,4832,4832
4600,4606,4615,4611,4609,4601,4605,4612
3325,3432,3610,3591,3514,3343,3401,3548
3248,3141,2970,3035,3075,3194,3161,3101
2856,2849,2811,2903,2881,2844,2833,2857
2578,2584,2669,2555,2653,2642,2683,2588
2510,2587,2402,2517,2487,2417,2328,2485
2267,2220,2289,2305,2312,2230,2299,2334
2417,2269,2469,2386,2339,2346,2327,2475
2712,2597,2764,2610,2713,2566,2554,2757
2520,2655,3050,2987,2911,2703,2913,3100
3108,3026,3356,3150,3124,3236,3079,3342
2838,3222,3543,3399,3282,3250,3354,3571
3462,3297,3724,3373,3505,3532,3430,3686
3596,3425,3642,3503,3481,3670,3493,3617
4614,4604,4595,4611,4609,4609,4611,4605
4972,4971,4971,4972,4972,4972,4972,4972
4743,4748,4757,4751,4752,4745,4748,4754
3501,3598,3721,3700,3662,3596,3561,3652
3380,3276,3176,3270,3177,3288,3289,3261
3031,3002,2968,3066,3053,2948,2956,2988
2714,2694,2834,2679,2739,2823,2803,2718
2655,2689,2545,2681,2731,2586,2551,2689
2405,2329,2443,2431,2509,2389,2419,2426
2518,2360,2578,2556,2499,2403,2448,2586
2904,2801,2900,2835,2881,2778,2769,2941
2687,2954,3237,3224,3067,2894,3172,3275
3323,3272,3532,3376,3312,3431,3321,3534
2967,3501,3741,3638,3482,3418,3622,3748
3699,3540,3919,3627,3651,3762,3706,3890
3737,3682,3876,3692,3704,3913,3686,3769
4754,4744,4735,4750,4751,4752,4748,4744
4715,4716,4707,4708,4718,4718,4714,4711
4481,4493,4494,4482,4499,4491,4489,4485
3450,3472,3410,3368,3497,3521,3333,3330
3107,3156,3178,3201,3064,3067,2916,3136
2868,2829,2781,2740,2854,2793,2689,2897
2737,2552,2799,2733,2538,2712,2737,2495
2466,2572,2435,2527,2611,2540,2552,2641
2466,2373,2432,2395,2481,2328,2545,2357
