data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8
3517,3567,3532,3559,3525,3569,3495,3537
3290,3350,3328,3348,3348,3357,3340,3325
2336,2454,2416,2551,2485,2489,2443,2309
2331,2394,2400,2351,2368,2303,2428,2268
2206,2458,2259,2244,2250,2234,2467,2088
2188,2512,2307,2357,2394,2210,2387,2311
2334,2334,2443,2352,2338,2284,2291,2394
2213,2359,2354,2420,2527,2304,2330,2515
2080,2317,1937,2568,2572,2141,2452,2450
2213,2359,2354,2420,2527,2304,2330,2515
2334,2334,2443,2352,2338,2284,2291,2394
2188,2512,2307,2357,2394,2210,2387,2311
2206,2458,2259,2244,2250,2234,2467,2088
2331,2394,2400,2351,2368,2303,2428,2268
2336,2454,2416,2551,2485,2489,2443,2309
3290,3350,3328,3348,3348,3357,3340,3325
3732,3719,3722,3712,3722,3724,3715,3718
3511,3501,3506,3490,3503,3504,3503,3507
2360,2520,2462,2439,2435,2475,2447,2483
2365,2381,2403,2329,2279,2235,2405,2287
2347,2447,2268,2337,2285,2335,2406,2164
2371,2465,2278,2330,2329,2296,2365,2360
2331,2401,2365,2378,2285,2251,2457,2283
2296,2425,2298,2241,2375,2410,2389,2308
2349,2511,2392,2269,2519,2437,2614,2446
2443,2453,2384,2378,2458,2393,2612,2457
2349,2180,2287,2143,2351,2282,2385,2298
2252,2283,2076,2154,2377,2208,2397,2243
2214,2317,2248,2317,2361,2321,2508,2280
2369,2383,2374,2377,2425,2387,2448,2290
2524,2423,2490,2587,2323,2486,2503,2451
3516,3487,3495,3494,3495,3508,3488,3495
4029,4031,4027,4030,4029,4030,4030,4029
3802,3811,3804,3807,3805,3807,3808,3808
2650,2763,2683,2680,2636,2694,2711,2696
2248,2379,2357,2237,2325,2327,2299,2355
2253,2373,2411,2354,2267,2256,2370,2292
2225,2258,2190,2198,2339,2254,2400,2261
2228,2347,2285,2169,2264,2247,2433,2297
2296,2286,2301,2377,2449,2291,2213,2288
2357,2468,2380,2487,2487,2396,2357,2451
2248,2416,2195,2403,2366,2296,2349,2429
2120,2153,2066,2179,2202,2369,2260,2183
2195,2278,2165,2241,2261,2395,2366,2319
2170,2357,2303,2310,2347,2380,2427,2295
2387,2443,2387,2468,2420,2545,2334,2441
2756,2697,2646,2695,2687,2546,2731,2596
3812,3809,3805,3809,3807,3807,3808,3804
4185,4156,4172,4180,4155,4183,4158,4175
3985,3910,3944,3973,3931,3975,3913,3954
3133,3011,2966,3225,2861,3148,3074,3047
2613,2608,2831,2780,2662,2771,2838,2971
2654,2523,2584,2898,2707,2537,2756,2812
2966,2560,2652,2927,2644,2761,2655,2716
