data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8
3550,3627,3515,3599,3558,3593,3570,3613
3342,3410,3278,3377,3354,3368,3349,3389
2513,2383,2444,2473,2469,2625,2377,2448
2373,2395,2383,2434,2385,2429,2388,2446
2247,2474,2438,2210,2340,2306,2406,2392
2339,2404,2406,2230,2336,2376,2335,2118
2389,2222,2294,2199,2347,2388,2335,2376
2441,2168,2314,2190,2358,2219,2236,2393
2239,2181,2130,1976,2051,1741,2351,2065
2441,2168,2314,2190,2358,2219,2236,2393
2389,2222,2294,2199,2347,2388,2335,2376
2339,2404,2406,2230,2336,2376,2335,2118
2247,2474,2438,2210,2340,2306,2406,2392
2373,2395,2383,2434,2385,2429,2388,2446
2513,2383,2444,2473,2469,2625,2377,2448
3342,3410,3278,3377,3354,3368,3349,3389
3725,3736,3715,3730,3725,3731,3730,3733
3500,3517,3492,3510,3512,3516,3516,3508
2416,2433,2509,2429,2459,2525,2425,2511
2280,2329,2373,2294,2292,2231,2292,2327
2234,2351,2432,2305,2270,2328,2264,2416
2373,2263,2291,2222,2246,2367,2313,2219
2263,2240,2285,2289,2174,2353,2401,2183
2378,2163,2280,2288,2296,2200,2309,2294
2111,2320,2357,2150,2099,2157,2381,2080
2297,2251,2257,2182,2390,2281,2339,2272
2382,2252,2173,2159,2387,2387,2304,2321
2222,2390,2383,2326,2327,2360,2317,2199
2224,2422,2276,2290,2242,2242,2233,2315
2337,2345,2403,2355,2319,2412,2315,2204
2448,2415,2455,2390,2486,2493,2375,2543
3505,3512,3486,3506,3490,3504,3495,3517
4031,4030,4030,4030,4029,4030,4029,4031
3808,3808,3809,3808,3806,3807,3806,3807
2738,2682,2706,2613,2667,2693,2655,2709
2049,2314,2313,2415,2373,2318,2467,2320
2360,2285,2185,2391,2254,2302,2302,2326
2218,2226,2237,2213,2134,2242,2382,2178
2026,2122,2295,2208,2260,2351,2341,2208
2316,2305,2298,2292,2290,2278,2215,2230
2285,2377,2310,2237,2251,2322,2336,2136
2262,2264,2221,2260,2349,2323,2174,2241
2235,2269,1993,2246,2310,2314,2228,2188
2140,2279,2360,2293,2186,2222,2277,2255
2279,2266,2244,2297,2245,2274,2238,2182
2431,2368,2332,2421,2359,2484,2525,2449
2684,2645,2765,2557,2663,2686,2647,2713
3811,3807,3811,3806,3807,3807,3808,3811
4186,4186,4184,4185,4185,4184,4184,4185
3959,3962,3959,3959,3960,3959,3960,3961
2833,2866,2856,2788,2847,2857,2812,2849
2420,2514,2436,2595,2434,2475,2484,2456
2205,2301,2142,2350,2239,2263,2422,2388
2104,2178,2193,2412,2175,2368,2335,2173
1944,2179,2276,2032,2231,2372,2369,2110
2109,2331,2272,2289,2230,2291,2284,2298
2203,2246,2322,2320,2350,2287,2316,2093
2360,2261,2353,2302,2419,2333,2248,2094
2156,2203,2164,2264,2391,2380,2263,2144
2324,2218,2272,2332,2188,2235,2263,2311
2402,2301,2301,2396,2424,2274,2294,2274
2472,2508,2432,2482,2435,2559,2514,2494
2832,2835,2860,2801,2807,2812,2787,2825
3959,3959,3960,3960,3959,3957,3958,3961
4752,4752,4752,4752,4752,4751,4752,4752
4530,4531,4531,4531,4531,4531,4530,4529
3400,3396,3412,3407,3408,3399,3406,3399
3034,3032,3000,3009,3017,3030,3018,2997
2707,2761,2752,2769,2739,2777,2761,2802
2624,2493,2575,2535,2602,2432,2528,2486
2301,2327,2361,2319,2305,2462,2351,2422
2245,2207,2197,2303,2280,2182,2367,2289
2271,2163,2367,2303,2278,2023,2282,2249
2343,2214,2316,2371,2338,2219,2353,2356
2391,2398,2393,2156,2451,2312,2451,2228
2511,2509,2544,2562,2555,2501,2503,2582
2794,2774,2764,2760,2729,2768,2771,2758
3002,2991,2980,3016,3035,3002,3024,3010
3401,3408,3412,3404,3394,3405,3394,3407
4532,4532,4531,4531,4530,4530,4530,4531
5145,5145,5145,5145,5145,5145,5145,5144
4921,4922,4922,4923,4923,4923,4922,4922
3796,3795,3798,3797,3795,3797,3799,3795
3413,3408,3401,3404,3419,3415,3404,3401
3139,3146,3154,3147,3128,3151,3146,3164
2967,2940,2945,2939,2960,2907,2939,2897
2637,2664,2672,2692,2640,2725,2688,2757
2485,2453,2515,2491,2508,2466,2504,2319
2277,2235,2332,2240,2281,2093,2178,2109
2484,2366,2354,2484,2449,2447,2418,2508
2718,2699,2711,2701,2708,2674,2772,2658
2916,2943,2941,2901,2941,2951,2902,2945
3156,3156,3135,3158,3127,3128,3157,3134
3404,3395,3402,3406,3410,3410,3401,3410
3794,3796,3795,3793,3791,3790,3794,3792
4923,4923,4923,4923,4923,4922,4922,4922
5170,5170,5169,5169,5169,5169,5169,5169
4949,4949,4949,4948,4948,4948,4949,4948
3822,3821,3822,3821,3818,3822,3824,3821
3438,3439,3429,3433,3450,3440,3432,3431
3168,3156,3191,3175,3145,3175,3162,3178
2970,2982,2939,2965,2995,2937,2985,2921
2676,2668,2738,2703,2672,2756,2682,2778
2452,2505,2560,2508,2551,2404,2589,2333
2396,2177,2293,2249,2297,2136,2351,2110
2465,2384,2468,2424,2518,2475,2342,2481
2743,2710,2745,2753,2647,2692,2777,2750
2936,2970,2968,2927,2983,2986,2938,2966
3178,3173,3146,3182,3150,3145,3185,3153
3435,3427,3440,3430,3436,3440,3421,3437
3819,3823,3820,3821,3818,3815,3822,3817
4949,4949,4948,4948,4948,4948,4949,4949
4926,4926,4926,4926,4925,4925,4925,4925
4704,4705,4704,4705,4704,4705,4704,4704
3580,3576,3573,3575,3569,3575,3580,3576
3196,3198,3194,3189,3220,3193,3189,3194
2908,2897,2953,2963,2858,2949,2896,2920
2746,2740,2609,2666,2786,2719,2799,2697
2481,2472,2580,2426,2414,2495,2205,2542
2187,2321,2375,2452,2292,2335,2400,2326
2302,2171,2182,2257,2227,2073,2295,2270
2359,2293,2316,2226,2438,2240,2236,2308
2541,2535,2481,2498,2443,2481,2515,2570
2657,2709,2724,2691,2775,2742,2722,2723
2919,2920,2885,2942,2902,2891,2921,2905
3199,3194,3204,3181,3193,3200,3172,3195
3569,3572,3574,3575,3572,3566,3579,3567
4705,4704,4704,4704,4704,4704,4704,4704
4252,4249,4251,4248,4249,4249,4248,4249
4026,4022,4023,4022,4022,4022,4024,4023
2934,2846,2871,2881,2884,2876,2945,2906
2401,2558,2573,2563,2596,2538,2424,2498
2298,2329,2464,2402,2278,2500,2411,2405
2252,2147,2381,2127,2351,2379,2256,2317
2243,2322,2335,2303,2042,2279,2424,2216
2157,2211,2071,2489,2127,2264,2192,2281
2201,2276,2227,2365,2146,2004,2087,2287
2151,2280,2327,2079,2237,2035,1998,2122
2258,2202,2278,2170,2311,2160,2187,2140
2308,2178,2193,2219,2132,2349,2217,2260
2145,2395,2334,2436,2438,2471,2311,2518
2535,2589,2497,2544,2490,2470,2506,2569
2923,2894,2911,2906,2890,2888,2902,2851
4026,4024,4025,4022,4021,4021,4023,4022
4868,4868,4868,4868,4869,4869,4869,4869
4646,4646,4646,4646,4646,4647,4646,4646
3513,3514,3523,3515,3522,3531,3519,3517
3142,3125,3131,3154,3135,3134,3139,3139
2873,2903,2888,2823,2918,2852,2870,2877
2640,2624,2586,2652,2605,2663,2621,2665
2424,2241,2521,2599,2423,2553,2527,2496
2351,2413,2242,2120,2253,2289,2234,2175
2342,2289,2290,2291,2204,2310,2315,2277
2157,2435,2374,2365,2322,2357,2368,2165
2399,2297,2392,2483,2472,2334,2463,2471
2692,2705,2689,2604,2668,2712,2665,2708
2864,2864,2864,2898,2862,2863,2852,2840
3125,3135,3137,3119,3136,3133,3134,3149
3520,3517,3512,3527,3508,3513,3519,3520
4646,4646,4646,4647,4646,4646,4648,4648
4854,4854,4855,4854,4855,4855,4856,4856
4629,4630,4631,4631,4631,4631,4631,4631
3496,3495,3515,3506,3509,3517,3507,3506
3140,3114,3105,3129,3111,3105,3124,3122
2842,2866,2876,2826,2878,2873,2835,2865
2620,2663,2585,2603,2648,2663,2656,2635
2454,2250,2520,2559,2419,2489,2505,2508
2292,2415,2319,2223,2318,2398,2309,2308
2209,2382,2202,2280,2257,2368,2254,2285
2275,2485,2288,2312,2366,2397,2397,2196
2284,2489,2408,2502,2478,2493,2370,2390
2643,2620,2680,2559,2652,2678,2702,2679
2840,2877,2868,2906,2834,2849,2818,2837
3124,3118,3114,3088,3121,3108,3120,3126
3503,3503,3502,3512,3495,3507,3507,3505
4632,4633,4632,4633,4632,4633,4634,4633
4441,4442,4441,4442,4442,4444,4442,4441
4219,4220,4222,4222,4222,4223,4220,4222
3068,3078,3120,3093,3097,3109,3081,3117
2798,2762,2713,2706,2630,2675,2714,2647
2503,2568,2539,2487,2539,2432,2494,2565
2239,2488,2341,2341,2358,2306,2377,2384
2292,2333,2159,2328,2301,2034,2316,2394
2313,2280,2204,2386,2353,2255,2355,2348
2270,2344,2298,2343,2272,2251,2344,2275
2288,2380,2248,2294,2319,2322,2260,2221
2300,2348,2286,2212,2299,2461,2316,2192
2438,2388,2286,2386,2403,2481,2504,2455
2408,2525,2518,2575,2374,2460,2424,2474
2739,2720,2751,2667,2752,2591,2707,2694
3072,3091,3075,3104,3068,3132,3112,3089
4219,4220,4219,4220,4219,4222,4221,4221
4500,4500,4499,4499,4499,4498,4500,4499
4280,4278,4279,4279,4280,4279,4279,4277
3180,3149,3158,3162,3161,3162,3170,3163
2708,2726,2765,2762,2757,2790,2719,2725
2601,2562,2504,2514,2516,2460,2628,2566
2225,2432,2393,2344,2423,2277,2406,2285
2364,2332,2244,2199,2306,2291,2207,2445
2272,2350,2150,2332,2393,2234,2422,2251
2147,2200,2246,2395,2330,2243,2406,2227
2253,2266,2253,2396,2280,2393,2380,2247
2346,2463,2329,2192,2452,2401,2421,2324
2379,2228,2393,2319,2306,2496,2355,2399
2501,2572,2570,2523,2416,2444,2395,2573
2737,2718,2741,2750,2817,2670,2756,2721
3157,3153,3142,3145,3126,3162,3162,3166
4279,4278,4278,4278,4277,4278,4279,4279
4601,4602,4602,4601,4602,4601,4601,4600
4381,4380,4381,4381,4381,4381,4381,4379
3257,3272,3246,3272,3260,3275,3257,3251
2849,2775,2892,2845,2808,2858,2852,2858
2642,2725,2602,2558,2641,2580,2670,2676
2507,2468,2423,2470,2447,2516,2432,2455
2432,2269,2389,2299,2317,2261,2316,2399
2285,2327,2349,2332,2258,2021,2337,2193
2192,2213,2271,2394,2327,2098,2427,2283
2433,2247,2431,2394,2314,2210,2393,2382
2431,2534,2433,2203,2342,2357,2413,2393
2411,2314,2362,2456,2435,2529,2375,2424
2642,2624,2656,2636,2571,2606,2570,2659
2853,2868,2850,2851,2912,2818,2886,2744
3253,3253,3246,3247,3231,3258,3238,3273
4378,4378,4377,4377,4376,4377,4377,4377
4406,4403,4405,4402,4400,4399,4404,4401
4188,4186,4188,4181,4183,4183,4188,4182
3086,3124,3093,3130,3014,3048,3110,3029
2765,2696,2782,2771,2762,2727,2753,2701
2464,2605,2548,2532,2542,2566,2439,2610
2479,2407,2509,2420,2325,2439,2376,2344
2192,2275,2380,2185,2251,2305,2340,2307
2137,2303,2348,2273,2216,2230,2242,2256
2316,2198,2282,2275,2308,2216,2172,2338
2389,2276,2314,2403,2345,2176,2308,2395
2359,2372,2447,2249,2222,2340,2355,2345
2369,2395,2407,2409,2387,2456,2328,2344
2483,2581,2615,2586,2585,2576,2502,2438
2729,2765,2671,2723,2815,2637,2814,2761
3012,3124,3114,3017,3087,3065,3050,3040
4185,4186,4189,4180,4178,4168,4181,4180
4164,4164,4165,4164,4162,4162,4161,4161
3943,3942,3944,3941,3942,3942,3940,3940
2790,2836,2776,2813,2814,2808,2814,2799
2504,2357,2530,2501,2405,2604,2453,2493
2302,2249,2260,2390,2357,2396,2300,2268
2264,2309,2378,2377,2271,2201,2326,2202
2055,2265,2279,2081,2205,2125,2165,2265
2206,2297,2279,2168,2257,2277,2117,2247
2293,2203,2288,2307,2215,2237,2064,2248
2280,2211,2172,2353,2319,2223,2365,2243
2107,2171,2378,2363,2256,2211,2225,2128
2383,2384,2314,2303,2225,2228,2369,2148
2445,2349,2458,2358,2420,2499,2175,2429
2471,2608,2432,2453,2437,2450,2587,2475
2737,2800,2853,2776,2777,2848,2739,2776
3938,3941,3941,3940,3938,3938,3935,3936
3863,3859,3863,3861,3858,3853,3860,3852
3631,3631,3639,3637,3640,3631,3642,3629
2501,2537,2414,2578,2678,2536,2597,2481
2370,2188,2297,2406,2258,2460,2334,2405
2369,2386,2382,2213,2301,2226,2312,2399
2267,2420,2277,2255,2373,2296,2382,2274
2249,2262,2424,2187,2294,2245,2235,2087
2073,2198,2340,2169,2345,2222,2208,2183
2243,2259,2249,2384,2338,2278,2168,2159
2322,2179,2200,2379,2318,2234,2308,2187
2193,2117,2326,2373,2279,2215,2350,2295
2301,2296,2229,2305,2233,2387,2309,2355
2314,2194,2282,2188,2264,2335,2180,2437
2381,2424,2348,2340,2283,2376,2341,2377
2503,2583,2561,2555,2572,2655,2516,2564
3643,3636,3640,3643,3634,3633,3635,3630
3928,3927,3926,3925,3927,3924,3927,3929
3708,3708,3707,3704,3707,3698,3707,3709
2618,2569,2609,2599,2583,2598,2623,2640
2415,2463,2250,2389,2303,2286,2346,2426
2329,2355,2304,2185,2339,2134,2397,2324
2263,2400,2150,2209,2396,2349,2313,2267
2288,2279,2371,2225,2396,2324,2298,2169
2348,2195,2254,2240,2405,2241,2238,2249
2325,2233,2273,2357,2300,2189,2240,2282
2241,2237,2207,2348,2350,2174,2148,2358
2220,2239,2296,2320,2270,2309,2180,2271
2375,2303,2171,2378,2230,2411,2331,2270
2240,2182,2304,2273,2254,2364,2313,2371
2421,2367,2354,2374,2247,2486,2417,2506
2533,2578,2541,2498,2559,2569,2595,2606
3705,3706,3702,3697,3706,3705,3705,3707
3924,3924,3920,3926,3924,3921,3925,3925
3698,3698,3698,3699,3699,3697,3704,3698
2500,2443,2575,2527,2562,2610,2657,2518
2397,2401,2304,2471,2369,2263,2284,2288
2322,2278,2323,2398,2376,2100,2278,2229
2282,2267,2150,2279,2322,2272,2320,2009
2199,2427,2333,2214,2291,2201,2355,2111
2337,2307,2270,2329,2188,2163,2267,2150
2278,2275,2327,2225,2109,2217,2193,2237
2197,2215,2240,2263,2192,2283,2155,2362
2344,2251,2311,2251,2220,2294,2159,2351
2255,2275,2242,2387,2165,2399,2224,2275
2186,2216,2330,2429,2278,2274,2331,2294
2392,2305,2275,2360,2338,2322,2438,2439
2556,2526,2488,2545,2633,2616,2472,2688
3700,3698,3695,3705,3704,3699,3699,3705
3650,3644,3645,3652,3650,3646,3650,3650
3427,3427,3427,3427,3431,3426,3438,3430
2334,2406,2381,2302,2442,2482,2551,2362
2130,2214,2260,2430,2234,2312,2286,2323
2232,2336,2360,2379,2364,2169,2203,2225
2256,2284,2245,2273,2256,2221,2347,2069
2238,2226,2296,2294,2256,2193,2300,2085
2293,2131,2196,2362,2305,2265,2236,2090
2155,2232,2368,2224,2184,2435,2257,2282
2040,2233,2166,2160,2169,2451,2223,2299
2266,2182,2252,2367,2331,2386,2267,2272
2249,2220,2129,2303,2362,2410,2259,2202
2239,2216,2128,2261,2326,2292,2345,2306
2260,2189,2215,2325,2220,2188,2401,2226
2369,2409,2327,2484,2411,2522,2449,2513
3430,3416,3423,3432,3435,3436,3434,3436
3596,3590,3587,3599,3591,3594,3586,3592
3367,3372,3361,3382,3364,3371,3360,3369
2246,2336,2367,2094,2224,2270,2485,2235
2255,1977,2332,2469,2307,2302,2310,2286
2336,2237,2223,2298,2314,2208,2178,2143
2318,2218,2234,2351,2326,2361,2347,2254
2286,2253,2194,2133,2247,2230,2213,2146
2353,2136,2273,2279,2305,2213,2307,2219
2238,2062,2341,2379,2338,2420,2364,2286
2179,2061,2164,2252,2366,2435,2333,2279
2360,2145,2169,2341,2331,2277,2359,2229
2441,2193,2265,2271,2330,2276,2286,2046
2347,2240,2106,2227,2345,2266,2363,2323
2277,2314,2316,2295,2334,2285,2419,2333
2325,2419,2371,2347,2409,2343,2390,2336
3384,3374,3360,3377,3371,3368,3365,3369
3759,3754,3751,3755,3751,3753,3747,3751
3534,3531,3532,3532,3528,3534,3516,3527
2379,2435,2407,2353,2385,2533,2464,2401
2255,2321,2335,2405,2356,2289,2315,2214
2321,2321,2315,2220,2287,2388,2361,2236
2331,2287,2128,2288,2198,2305,2301,2262
2187,2280,2052,2132,2336,2159,2357,2201
2227,2199,2322,2347,2381,2270,2372,2289
2233,2145,2325,2415,2398,2366,2366,2324
2237,2112,2096,2331,2458,2353,2451,2294
2335,2015,2268,2296,2243,2384,2444,2182
2479,2200,2231,2326,2244,2322,2292,2296
2292,2408,2301,2254,2285,2350,2180,2404
2323,2350,2404,2354,2294,2441,2297,2418
2501,2520,2499,2500,2420,2436,2437,2415
3539,3532,3521,3532,3529,3528,3524,3525
3674,3669,3671,3676,3677,3671,3663,3665
3444,3450,3453,3456,3453,3452,3435,3442
2259,2346,2268,2314,2409,2434,2422,2294
2312,2269,2318,2323,2298,2319,2356,2321
2419,2305,2277,2350,2145,2325,2299,2381
2266,2248,2327,2258,2168,2234,2256,2261
2309,2000,2278,2227,2402,2245,2363,2368
2381,2222,2290,2425,2458,2312,2375,2342
2344,2290,2149,2338,2415,2282,2397,2345
2161,2163,2033,2216,2432,2247,2470,2124
2285,2151,2215,2266,2351,2374,2522,2306
2400,2285,2197,2270,2239,2371,2271,2293
2381,2355,2438,2320,2262,2212,2266,2359
2430,2231,2487,2319,2338,2383,2324,2367
2415,2440,2498,2385,2529,2489,2360,2325
3449,3445,3445,3455,3457,3452,3448,3439
3259,3259,3278,3285,3302,3270,3279,3263
3041,3030,3066,3072,3070,3046,3053,3015
2282,2322,2332,2312,2233,2306,2325,2323
2124,2104,2231,2418,2257,2163,2155,2332
2406,2246,2306,2402,2196,2325,2334,2333
2294,2351,2298,2319,2220,2323,2392,2296
2287,2212,2234,2350,2262,2154,2348,2282
2346,2260,2180,2409,2397,2261,2250,2128
2342,2148,2225,2346,2300,2153,2302,2212
2211,2226,2142,2320,2305,2044,2302,2248
2251,2250,2131,2445,2292,2238,2350,2304
2284,2224,2149,2393,2228,2217,2351,2411
2428,2268,2350,2263,2273,2218,2375,2386
2403,2248,2332,2302,2376,2323,2268,2355
2116,2316,2340,2205,2408,2380,2212,2355
3007,3032,3035,3052,3081,3051,3059,3059
3039,3036,3052,3057,3060,3095,3057,3073
2831,2803,2865,2775,2823,2898,2844,2824
2335,2237,2282,2351,2114,2314,2190,2317
2192,2278,2073,2501,2357,2178,2283,2249
2309,2253,2084,2392,2403,2196,2278,2305
2357,2247,2155,2293,2409,2206,2249,2250
2273,2185,2191,2336,2277,2209,2264,2271
2371,2263,2296,2381,2305,2182,2290,2244
2317,2355,2271,2385,2330,2193,2284,2274
2294,2387,2308,2211,2284,2269,2285,2279
2275,2311,2313,2282,2361,2342,2318,2281
2270,2216,2373,2318,2267,2225,2288,2352
2319,2274,2322,2277,2384,2126,2294,2411
2265,2267,2151,2300,2311,2219,2267,2299
2257,2303,2114,2277,2393,2118,2317,2336
2814,2834,2799,2859,2851,2878,2776,2906
2754,2883,2774,2884,2903,2846,2861,2902
2561,2688,2526,2701,2731,2689,2614,2642
2305,2238,2168,2197,2213,2419,2386,2270
2380,2357,2265,2412,2361,2352,2274,2198
2463,2307,2244,2318,2378,2145,2346,2204
2410,2300,2239,2222,2278,2273,2329,2267
2292,2234,2288,2176,2254,2281,2202,2357
2291,2200,2265,2416,2180,2311,2313,2159
2319,2289,2346,2376,2350,2232,2252,2253
2231,2320,2278,2277,2302,2270,2258,2377
2300,2304,2316,2212,2267,2360,2302,2379
2276,2292,2319,2344,2294,2298,2270,2325
2235,2269,2340,2356,2338,2280,2193,2405
2181,2359,2195,2288,2310,2369,2225,2271
2291,2365,2286,2314,2380,2341,2367,2309
2468,2624,2643,2682,2727,2707,2692,2725
2955,3004,2879,2956,2945,2999,3012,2973
2734,2749,2568,2799,2774,2749,2761,2754
2329,2119,2320,2358,2170,2345,2271,2312
2346,2298,2379,2380,2355,2399,2115,2204
2347,2405,2334,2329,2407,2379,2172,2031
2256,2317,2289,2273,2311,2398,2176,2263
2280,2105,2265,2158,2287,2347,2152,2356
2396,2084,2294,2409,2227,2359,2321,2251
2409,2260,2354,2376,2381,2352,2250,2315
2266,2357,2367,2367,2368,2380,2228,2324
2221,2383,2380,2289,2150,2354,2269,2318
2321,2218,2392,2241,2291,2252,2292,2410
2186,2229,2334,2431,2319,2366,2306,2417
2175,2328,2194,2355,2360,2379,2134,2222
2396,2239,2273,2236,2395,2299,2274,2306
2720,2806,2730,2676,2670,2801,2806,2750
2879,2932,2793,2765,2781,2959,2861,2786
2660,2686,2567,2573,2601,2757,2608,2553
2158,2291,2285,2286,2147,2319,2210,2308
2266,2355,2355,2285,2350,2366,2220,2324
2147,2425,2399,2215,2373,2283,2151,2300
2215,2253,2145,2286,2330,2162,2236,2237
2374,2044,2295,2341,2388,2261,2266,2321
2317,2230,2413,2328,2321,2238,2362,2264
2338,2222,2435,2273,2330,2339,2376,2260
2199,2265,2470,2331,2318,2280,2225,2425
2309,2239,2428,2299,2288,2277,2221,2394
2213,2297,2373,2310,2034,2224,2376,2378
2284,2251,2420,2269,2123,2363,2502,2295
2305,2261,2399,2299,2375,2483,2282,2171
2304,2281,2167,2053,2377,2358,2263,2180
2686,2769,2641,2584,2505,2728,2631,2622
2897,2986,2904,2862,2594,2752,2779,2839
2693,2761,2724,2677,2426,2617,2652,2594
2284,2385,2458,2320,2334,2322,2378,2235
2224,2373,2415,2219,2363,2257,2217,2340
2260,2344,2164,2146,2226,2267,2219,2372
2394,2176,2216,2322,2318,2272,2154,2307
2427,2241,2253,2254,2401,2280,2339,2324
2304,2245,2355,2318,2314,2286,2262,2322
2321,2097,2442,2185,2223,2257,2287,2295
2324,2239,2466,2191,2304,2236,2366,2373
2329,2112,2404,2335,2366,2192,2300,2391
2077,2297,2148,2360,2252,2280,2406,2410
2265,2116,2431,2235,2136,2321,2472,2274
2352,2318,2493,2338,2383,2398,2371,2283
2254,2355,2286,2338,2374,2283,2344,2284
2671,2824,2681,2606,2393,2443,2626,2653
3061,3074,2883,2827,2860,2845,2854,2918
