data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18
3409,3453,3432,3400,3479,3463,3463,3481,3467,3440,3386,3461,3431,3429,3406,3454,3474,3486
3197,3245,3238,3240,3265,3254,3221,3277,3261,3224,3197,3258,3231,3256,3180,3250,3258,3274
2556,2384,2410,2475,2571,2389,2437,2512,2517,2369,2421,2432,2408,2500,2265,2383,2413,2426
2387,2377,2476,2348,2459,2379,2448,2377,2412,2231,2400,2454,2412,2329,2360,2301,2480,2410
2354,2359,2372,2330,2436,2420,2300,2269,2340,2323,2403,2413,2374,2284,2346,2351,2382,2334
2328,2350,2355,2288,2296,2327,2300,2346,2333,2251,2388,2369,2255,2253,2342,2320,2316,2346
2373,2359,2279,2346,2267,2256,2393,2414,2402,2292,2356,2324,2255,2284,2416,2248,2344,2359
2405,2256,2264,2297,2271,2328,2389,2335,2259,2317,2295,2379,2406,2227,2454,2357,2364,2395
2403,2303,2254,2041,2067,2261,2252,2250,2021,2207,2276,2307,2319,2074,2335,2437,2292,2262
2405,2256,2264,2297,2270,2328,2389,2335,2259,2317,2295,2379,2406,2227,2454,2357,2364,2395
2373,2359,2279,2346,2267,2256,2393,2414,2402,2292,2356,2324,2255,2284,2416,2248,2344,2359
2328,2350,2355,2288,2296,2327,2300,2346,2333,2251,2388,2369,2255,2253,2342,2320,2316,2346
2354,2359,2372,2330,2436,2420,2300,2269,2340,2323,2403,2413,2374,2284,2346,2351,2382,2334
2387,2377,2476,2348,2459,2379,2448,2377,2412,2231,2400,2454,2412,2329,2360,2301,2480,2410
2556,2384,2410,2475,2571,2389,2437,2512,2517,2369,2421,2432,2408,2500,2265,2383,2413,2426
3197,3245,3238,3240,3265,3254,3221,3277,3261,3224,3197,3258,3231,3256,3180,3250,3258,3274
3804,3812,3813,3810,3819,3818,3816,3818,3819,3816,3814,3812,3815,3814,3806,3816,3816,3816
3578,3590,3593,3587,3601,3599,3593,3594,3595,3595,3586,3586,3592,3595,3575,3596,3596,3591
2531,2488,2520,2558,2596,2530,2408,2507,2565,2577,2483,2524,2529,2542,2481,2488,2537,2388
2329,2361,2436,2360,2445,2413,2418,2388,2322,2290,2301,2372,2433,2347,2325,2289,2418,2434
2361,2369,2275,2324,2480,2447,2250,2353,2300,2301,2295,2336,2315,2274,2386,2333,2315,2335
