data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3454,3500,3474,3461,3484,3448,3456,3538,3449,3486,3544,3532,3473,3467,3359,3494,3401
3292,3284,3260,3243,3262,3197,3244,3339,3239,3281,3338,3325,3260,3263,3184,3273,3240
2498,2464,2532,2475,2438,2368,2437,2488,2416,2447,2463,2428,2422,2503,2361,2305,2416
2358,2473,2319,2320,2428,2439,2329,2422,2358,2481,2378,2295,2342,2299,2395,2327,2307
2371,2457,2326,2255,2369,2378,2250,2373,2289,2201,2366,2288,2250,2308,2295,2276,2360
2361,2332,2355,2423,2304,2356,2391,2318,2402,2350,2330,2389,2262,2415,2330,2352,2418
2315,2372,2365,2343,2283,2256,2355,2363,2401,2376,2264,2416,2388,2356,2288,2350,2444
2365,2253,2278,2343,2259,2364,2242,2420,2281,2328,2317,2405,2476,2406,2346,2307,2314
2368,2075,2166,2262,2003,2087,2152,2321,2223,2237,1848,2202,2331,2335,2296,2099,2086
2365,2253,2278,2343,2259,2364,2242,2420,2281,2328,2317,2405,2476,2406,2346,2307,2314
2315,2372,2365,2343,2283,2256,2355,2363,2401,2376,2264,2416,2388,2356,2288,2350,2444
2361,2332,2354,2423,2304,2356,2391,2318,2402,2350,2330,2389,2262,2415,2330,2352,2418
2371,2457,2326,2255,2369,2378,2250,2373,2289,2201,2366,2288,2250,2308,2295,2276,2360
2358,2473,2319,2320,2428,2439,2329,2422,2358,2481,2378,2295,2342,2299,2395,2327,2307
2498,2464,2532,2475,2438,2368,2437,2488,2416,2447,2463,2428,2422,2503,2361,2305,2416
3292,3284,3260,3243,3262,3197,3244,3339,3239,3281,3338,3325,3260,3263,3184,3273,3240
3826,3825,3815,3817,3824,3821,3813,3829,3818,3817,3831,3831,3820,3822,3815,3824,3823
3606,3606,3594,3595,3605,3596,3589,3611,3595,3597,3614,3613,3596,3602,3589,3602,3597
2588,2521,2469,2576,2509,2461,2459,2562,2546,2468,2601,2593,2465,2589,2491,2491,2384
2370,2360,2291,2394,2387,2399,2226,2399,2288,2334,2304,2322,2260,2293,2368,2297,2299
