data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8
3657,3593,3611,3654,3583,3612,3593,3610
3434,3373,3389,3438,3351,3389,3385,3383
2413,2436,2460,2477,2479,2460,2450,2521
2353,2235,2374,2371,2439,2406,2392,2422
2407,2371,2381,2365,2438,2324,2429,2403
2378,2418,2328,2395,2426,2400,2418,2335
2338,2390,2364,2332,2350,2296,2256,2282
2374,2505,2401,2418,2436,2282,2277,2417
2351,2347,2345,2364,2487,2245,2220,2409
2374,2505,2401,2418,2436,2282,2277,2417
2338,2390,2364,2332,2350,2296,2256,2282
2378,2418,2328,2395,2426,2400,2418,2335
2407,2371,2381,2365,2438,2324,2429,2403
2353,2235,2374,2371,2439,2406,2392,2422
2413,2436,2460,2477,2479,2460,2450,2521
3434,3373,3389,3438,3351,3389,3385,3383
3828,3827,3828,3828,3822,3821,3822,3832
3600,3603,3607,3610,3601,3601,3603,3613
2447,2529,2479,2513,2558,2475,2588,2597
2334,2133,2341,2345,2333,2386,2367,2339
2316,2395,2341,2261,2361,2225,2383,2333
2329,2320,2261,2345,2313,2291,2373,2327
2390,2268,2280,2350,2276,2376,2308,2256
2373,2342,2379,2320,2436,2502,2350,2367
2457,2392,2549,2518,2451,2600,2530,2543
2431,2297,2419,2452,2391,2428,2408,2460
2341,2287,2309,2223,2390,2254,2200,2206
2342,2270,2312,2279,2351,2426,2261,2220
2369,2301,2184,2334,2415,2320,2252,2283
2356,2304,2291,2385,2410,2402,2316,2387
2484,2569,2543,2454,2595,2570,2504,2590
3602,3606,3602,3596,3599,3600,3595,3610
3984,3978,3991,3980,3988,3992,3993,3993
3758,3760,3779,3766,3758,3770,3777,3778
2735,2721,2715,2735,2758,2681,2727,2763
2445,2378,2459,2478,2442,2556,2512,2430
2257,2311,2275,2347,2358,2284,2370,2353
2220,2332,2341,2400,2421,2382,2421,2312
2390,2316,2457,2424,2558,2326,2439,2445
2364,2634,2693,2678,2562,2539,2660,2664
2657,2722,2798,2802,2675,2834,2911,2762
2604,2651,2735,2736,2649,2761,2774,2643
2284,2279,2341,2354,2273,2384,2321,2387
2314,2212,2311,2308,2250,2369,2268,2384
2348,2365,2302,2319,2315,2315,2330,2301
2484,2374,2430,2491,2383,2455,2389,2376
2660,2720,2628,2609,2728,2689,2695,2756
3765,3757,3763,3746,3765,3765,3767,3773
4131,4222,4187,4115,4215,4248,4194,4181
3985,4058,4037,3935,3970,4084,4021,4077
3630,3423,3677,3666,3671,3658,3549,3858
3323,2993,3296,3392,3361,3087,3412,3589
2724,2832,3007,2833,3135,3257,3176,3381
3007,3049,3224,3100,3279,3237,3336,3327
3256,3426,3359,3349,3508,3149,3536,3276
3566,3535,3484,3560,3850,3711,3795,3447
3989,4002,3914,4001,4028,4039,4036,3955
3996,4006,3945,3971,3830,3937,3893,3969
3626,3615,3612,3509,3221,3338,3496,3618
3207,3142,3170,3384,3171,3181,3374,3358
2995,3025,3055,3268,3294,3016,3099,3455
3278,2797,3489,3545,3669,3358,3213,3426
3525,3352,3591,3686,3870,3367,3641,3700
3946,3965,3972,3943,4060,3988,4012,4001
4751,4713,4731,4732,4654,4678,4744,4730
4630,4524,4568,4510,4092,4570,4576,4674
4240,3907,4259,4176,4261,4216,4060,4462
3891,3592,3989,4003,3989,3859,3976,4218
3416,3485,3625,3297,3709,3753,3716,4025
3526,3639,3713,3577,3889,3850,3860,4028
3604,4010,3924,3791,4188,3619,4048,3777
4333,4368,4353,4352,4399,4416,4513,4319
4608,4615,4581,4656,4583,4703,4744,4557
4612,4612,4561,4592,4462,4588,4592,4542
4245,4191,4108,4074,3977,3975,4104,4149
3844,3777,3689,3892,3823,3713,4097,4040
3545,3769,3712,3765,3743,3574,3916,3989
3662,3364,4092,4061,4266,3919,3657,4046
4074,3955,4197,4207,4482,3770,4192,4346
4402,4420,4477,4549,4699,4344,4426,4390
4922,4906,4890,4910,4850,4874,4908,4883
4790,4720,4696,4672,4269,4745,4741,4803
4377,4101,4414,4247,4442,4323,4137,4624
4044,3793,4203,4149,4163,4092,4092,4412
3686,3690,3848,3590,3933,3939,3854,4214
3715,3888,3935,3820,4061,3938,4021,4246
3717,4161,4213,4013,4388,3951,4145,4045
4645,4651,4626,4716,4597,4686,4712,4602
4871,4751,4810,4938,4688,4923,4965,4836
4816,4796,4774,4805,4673,4784,4810,4731
4414,4416,4227,4212,4277,4117,4273,4229
4072,3977,3945,4024,4100,3854,4320,4262
3907,4112,3816,3938,3951,3747,4203,4061
3942,3539,4239,4179,4417,4106,3826,4260
4245,4109,4387,4323,4655,3999,4334,4561
4587,4623,4624,4726,4873,4591,4558,4505
4733,4752,4724,4738,4702,4734,4730,4712
4581,4577,4519,4466,4391,4596,4556,4578
4165,4007,4217,4014,4330,4086,3925,4456
3836,3724,4077,3964,3989,3948,3941,4272
3719,3765,3857,3652,3917,3758,3724,4043
3627,3890,3934,3752,3892,3735,3857,4115
3901,4026,4167,4008,4322,3955,3902,3981
4592,4588,4547,4672,4564,4599,4665,4495
4794,4549,4753,4851,4460,4788,4805,4753
4661,4617,4669,4663,4521,4604,4631,4578
4187,4295,4084,4000,4183,3969,4170,4102
3983,3911,3956,3929,4054,3646,4189,4151
3930,4069,3581,3931,3833,3758,4147,3850
3963,3676,4004,3965,4192,3995,3757,4155
4139,3895,4255,4118,4501,4069,4151,4454
4389,4476,4447,4577,4713,4476,4462,4443
4491,4598,4449,4488,4520,4440,4528,4404
4270,4412,4283,4224,4415,4290,4362,4170
3750,3881,3724,3788,3941,3725,3851,4058
3798,3592,3780,3734,3714,3409,3760,4022
3526,3619,3563,3374,3760,3333,3600,3793
3550,3433,3726,3579,3774,3659,3691,3839
3775,3879,3889,3661,4152,3700,3781,3807
4394,4433,4414,4445,4450,4358,4512,4315
4482,4384,4536,4563,4322,4517,4658,4503
4085,4188,4293,4217,4150,4261,4425,4259
3845,3803,3757,3610,3891,3764,3850,3777
3735,3668,3607,3618,3788,3770,3851,3843
3696,3817,3542,3795,3727,3574,3864,3503
3608,3656,3793,3900,3924,3762,3704,3961
3908,3783,4021,3923,4305,3901,4077,4212
4305,4371,4063,4233,4489,4373,4442,4209
4808,4893,4830,4854,4838,4866,4910,4712
4597,4713,4698,4575,4593,4685,4698,4541
3857,4156,4213,4177,3930,4038,4204,3997
3922,3744,3998,4108,3920,3738,3783,4151
3784,3554,3715,3834,3743,3678,3534,3968
3771,3744,3774,3752,3726,3951,3841,4101
3748,4046,4088,4056,4260,3967,3780,4204
4451,4527,4521,4566,4574,4380,4564,4472
4585,4432,4612,4633,4495,4510,4713,4636
4257,4187,4337,4334,4270,4271,4452,4456
3678,3789,3855,3805,4002,3998,3889,4049
